,title,opn_wknd,gross,budget,runtime,directors,writers,cast,PG,PG-13,R,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,days,dir_rank,wri_rank,cast_rank
0,Star Wars: Episode VII - The Force Awakens,247966675.0,9366.62225,2450.0,138.0,['J.J. Abrams'],"['Lawrence Kasdan', 'J.J. Abrams']","['Harrison Ford', 'Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', ""Lupita Nyong'o"", 'Andy Serkis', 'Domhnall Gleeson', 'Anthony Daniels', 'Max von Sydow', 'Peter Mayhew', 'Gwendoline Christie', 'Joonas Suotamo']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1759,1066,2259,17850
1,Avengers: Endgame,357115007.0,8583.73,3560.0,181.0,"['Anthony Russo', 'Joe Russo']","['Christopher Markus', 'Stephen McFeely']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Don Cheadle', 'Paul Rudd', 'Benedict Cumberbatch', 'Chadwick Boseman', 'Brie Larson', 'Tom Holland', 'Karen Gillan', 'Zoe Saldana', 'Evangeline Lilly']",0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,534,1080,2276,17829
2,Avatar,77025481.0,7605.07625,2370.0,162.0,['James Cameron'],['James Cameron'],"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Stephen Lang', 'Michelle Rodriguez', 'Giovanni Ribisi', 'Joel David Moore', 'CCH Pounder', 'Wes Studi', 'Laz Alonso', 'Dileep Rao', 'Matt Gerald', 'Sean Anthony Moran', 'Jason Whyte', 'Scott Lawrence']",0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3950,842,1749,17597
3,Black Panther,202003951.0,7004.26566,2000.0,134.0,['Ryan Coogler'],"['Ryan Coogler', 'Joe Robert Cole']","['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira', 'Martin Freeman', 'Daniel Kaluuya', 'Letitia Wright', 'Winston Duke', 'Sterling K. Brown', 'Angela Bassett', 'Forest Whitaker', 'Andy Serkis', 'Florence Kasumba', 'John Kani', 'David S. Lee']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,968,1068,2282,17846
4,Avengers: Infinity War,257698183.0,6788.15482,3210.0,149.0,"['Anthony Russo', 'Joe Russo']","['Christopher Markus', 'Stephen McFeely']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Don Cheadle', 'Benedict Cumberbatch', 'Tom Holland', 'Chadwick Boseman', 'Zoe Saldana', 'Karen Gillan', 'Tom Hiddleston', 'Paul Bettany', 'Elizabeth Olsen', 'Anthony Mackie']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,898,1080,2276,17829
5,Jurassic World,208806270.0,6522.70625,1500.0,124.0,['Colin Trevorrow'],"['Rick Jaffa', 'Amanda Silver']","['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan', ""Vincent D'Onofrio"", 'Ty Simpkins', 'Nick Robinson', 'Jake Johnson', 'Omar Sy', 'BD Wong', 'Judy Greer', 'Lauren Lapkus', 'Brian Tee', 'Katie McGrath', 'Andy Buckley', 'Eric Edelstein']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1948,1081,2265,17849
6,The Avengers,207438708.0,6233.5791,2200.0,143.0,['Joss Whedon'],"['Joss Whedon', 'Zak Penn']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Tom Hiddleston', 'Clark Gregg', 'Cobie Smulders', 'Stellan Skarsgård', 'Samuel L. Jackson', 'Gwyneth Paltrow', 'Paul Bettany', 'Alexis Denisof', 'Tina Benko']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3082,1075,2243,17848
7,The Avengers,10305957.0,233.84939,600.0,89.0,['Jeremiah S. Chechik'],"['Sydney Newman', 'Don MacPherson']","['Ralph Fiennes', 'Uma Thurman', 'Sean Connery', 'Patrick Macnee', 'Jim Broadbent', 'Fiona Shaw', 'Eddie Izzard', 'Eileen Atkins', 'John Wood', 'Carmen Ejogo', 'Keeley Hawes', 'Shaun Ryder', 'Nicholas Woodeson', 'Michael Godley', 'Richard Lumsden']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8094,1075,2243,17848
8,Star Wars: Episode VIII - The Last Jedi,220009584.0,6201.81382,3170.0,152.0,['Rian Johnson'],"['Rian Johnson', 'George Lucas']","['Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Andy Serkis', ""Lupita Nyong'o"", 'Domhnall Gleeson', 'Anthony Daniels', 'Gwendoline Christie', 'Kelly Marie Tran', 'Laura Dern', 'Benicio Del Toro', 'Frank Oz']",0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1031,1063,2245,17850
9,Incredibles 2,182687905.0,6085.81744,2000.0,118.0,['Brad Bird'],['Brad Bird'],"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Huck Milner', 'Catherine Keener', 'Eli Fucile', 'Bob Odenkirk', 'Samuel L. Jackson', 'Michael Bird', 'Sophia Bush', 'Brad Bird', 'Phil LaMarr', 'Isabella Rossellini', 'Adam Gates', 'Jonathan Banks']",1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,849,1026,2173,17838
